id,Mitai_Sold,Date,Amount,Last_Updated,Amount_Category
167,Badam Pak,2024-12-14,2032,2024-12-14 09:47:00,2001-3000
380,Badam Pak,2024-12-14,2779,2024-12-14 13:18:00,2001-3000
603,Badam Pak,2024-12-14,4246,2024-12-14 03:35:00,4001-5000
187,Ras Malai,2024-12-14,903,2024-12-14 19:14:00,0-1000
936,Ras Malai,2024-12-14,3086,2024-12-14 16:44:00,3001-4000
809,Ras Malai,2024-12-14,2409,2024-12-14 20:20:00,2001-3000
494,Kaju Katri,2024-12-15,3178,2024-12-15 22:10:00,3001-4000
161,Gulab Jamun,2024-12-15,3444,2024-12-15 09:46:00,3001-4000
600,Barfi,2024-12-15,3568,2024-12-15 13:58:00,3001-4000
939,Barfi,2024-12-15,4328,2024-12-15 23:25:00,4001-5000
306,Ladoo,2024-12-15,2398,2024-12-15 08:23:00,2001-3000
383,Gulab Jamun,2024-12-15,1972,2024-12-15 03:28:00,1001-2000
479,Ras Malai,2024-12-16,1861,2024-12-16 22:20:00,1001-2000
419,Ladoo,2024-12-16,1842,2024-12-16 22:43:00,1001-2000
741,Gulab Jamun,2024-12-16,2756,2024-12-16 01:51:00,2001-3000
977,Ladoo,2024-12-16,4486,2024-12-16 12:46:00,4001-5000
707,Badam Pak,2024-12-17,746,2024-12-17 22:28:00,0-1000
397,Badam Pak,2024-12-17,513,2024-12-17 01:31:00,0-1000
944,Gulab Jamun,2024-12-17,1916,2024-12-17 11:12:00,1001-2000
268,Ladoo,2024-12-17,2314,2024-12-17 05:04:00,2001-3000
223,Badam Pak,2024-12-18,1935,2024-12-18 12:58:00,1001-2000
959,Kaju Katri,2024-12-18,4319,2024-12-18 21:54:00,4001-5000
691,Ras Malai,2024-12-18,4148,2024-12-18 15:18:00,4001-5000
751,Badam Pak,2024-12-18,4451,2024-12-18 16:58:00,4001-5000
924,Ladoo,2024-12-18,3201,2024-12-18 14:49:00,3001-4000
713,Ladoo,2024-12-18,2736,2024-12-18 03:50:00,2001-3000
299,Barfi,2024-12-19,3133,2024-12-19 16:19:00,3001-4000
461,Badam Pak,2024-12-19,2696,2024-12-19 20:52:00,2001-3000
545,Badam Pak,2024-12-19,296,2024-12-19 09:29:00,0-1000
310,Gulab Jamun,2024-12-19,665,2024-12-19 22:39:00,0-1000
767,Gulab Jamun,2024-12-20,2294,2024-12-20 02:40:00,2001-3000
678,Gulab Jamun,2024-12-20,1632,2024-12-20 01:00:00,1001-2000
550,Badam Pak,2024-12-20,647,2024-12-20 18:01:00,0-1000
794,Kaju Katri,2024-12-21,2783,2024-12-21 21:56:00,2001-3000
461,Badam Pak,2024-12-21,3886,2024-12-21 12:17:00,3001-4000
768,Kaju Katri,2024-12-21,199,2024-12-21 14:20:00,0-1000
507,Kaju Katri,2024-12-21,572,2024-12-21 20:40:00,0-1000
630,Ras Malai,2024-12-21,152,2024-12-21 05:04:00,0-1000
329,Ras Malai,2024-12-22,715,2024-12-22 11:04:00,0-1000
862,Badam Pak,2024-12-22,1926,2024-12-22 04:45:00,1001-2000
125,Badam Pak,2024-12-22,1777,2024-12-22 15:27:00,1001-2000
784,Badam Pak,2024-12-23,4433,2024-12-23 19:21:00,4001-5000
450,Barfi,2024-12-23,1029,2024-12-23 13:45:00,1001-2000
864,Ras Malai,2024-12-23,2964,2024-12-23 16:49:00,2001-3000
885,Badam Pak,2024-12-24,1650,2024-12-24 09:10:00,1001-2000
399,Barfi,2024-12-24,3848,2024-12-24 22:18:00,3001-4000
854,Ladoo,2024-12-24,2392,2024-12-24 09:20:00,2001-3000
504,Ras Malai,2024-12-24,271,2024-12-24 21:24:00,0-1000
866,Badam Pak,2024-12-24,4273,2024-12-24 11:02:00,4001-5000
873,Ras Malai,2024-12-25,4083,2024-12-25 06:35:00,4001-5000
833,Ladoo,2024-12-25,1207,2024-12-25 03:28:00,1001-2000
546,Kaju Katri,2024-12-25,791,2024-12-25 13:26:00,0-1000
496,Ladoo,2024-12-25,1085,2024-12-25 11:21:00,1001-2000
135,Badam Pak,2024-12-26,234,2024-12-26 07:32:00,0-1000
325,Ras Malai,2024-12-26,2326,2024-12-26 00:23:00,2001-3000
324,Gulab Jamun,2024-12-26,3298,2024-12-26 16:25:00,3001-4000
380,Barfi,2024-12-27,3104,2024-12-27 01:28:00,3001-4000
887,Barfi,2024-12-27,1843,2024-12-27 10:01:00,1001-2000
606,Kaju Katri,2024-12-27,1875,2024-12-27 21:12:00,1001-2000
882,Kaju Katri,2024-12-27,2206,2024-12-27 02:25:00,2001-3000
672,Ras Malai,2024-12-28,2906,2024-12-28 09:59:00,2001-3000
572,Gulab Jamun,2024-12-28,1536,2024-12-28 22:23:00,1001-2000
828,Badam Pak,2024-12-28,2080,2024-12-28 05:53:00,2001-3000
851,Ras Malai,2024-12-29,1126,2024-12-29 07:44:00,1001-2000
746,Ras Malai,2024-12-29,4244,2024-12-29 00:25:00,4001-5000
973,Barfi,2024-12-29,363,2024-12-29 15:33:00,0-1000
484,Ladoo,2024-12-30,171,2024-12-30 15:17:00,0-1000
305,Gulab Jamun,2024-12-30,1321,2024-12-30 17:51:00,1001-2000
497,Badam Pak,2024-12-30,1500,2024-12-30 09:39:00,1001-2000
142,Gulab Jamun,2024-12-30,4343,2024-12-30 08:06:00,4001-5000
527,Ras Malai,2024-12-30,1385,2024-12-30 18:10:00,1001-2000
128,Gulab Jamun,2024-12-30,1074,2024-12-30 08:47:00,1001-2000
129,Gulab Jamun,2024-12-31,169,2024-12-31 22:55:00,0-1000
140,Ras Malai,2024-12-31,1440,2024-12-31 08:51:00,1001-2000
778,Ras Malai,2024-12-31,3407,2024-12-31 10:37:00,3001-4000
669,Ladoo,2024-12-31,4431,2024-12-31 18:52:00,4001-5000
156,Barfi,2024-12-31,1113,2024-12-31 14:23:00,1001-2000
236,Ras Malai,2024-12-31,1320,2024-12-31 12:27:00,1001-2000
